Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14",CP_Elec_6.3x7.7,3,220u,C2887273
"C10, C2, C3",0603,3,100n,C14663
C11,0603,1,10u,C96446
C12,0603,1,47n,C1622
"C4, C6, C9",0603,3,1u,C15849
C5,0603,1,100p,C14858
C7,0603,1,1n,C1588
C8,0603,1,10n,C57112
D1,D_SOD-323,1,1N4148WS,C2128
"Q1, Q2",SOT-23,2,MMBT3904,C20526
Q3,SOT-23,1,MMBF5457,C2830807
"R1, R2, R23, R7",0603,4,4.7k,C23162
"R10, R19, R22, R4, R5, R6",0603,6,100k,C25803
R11,0603,1,2k,C22975
"R12, R20",0603,2,2M,C22976
R13,0603,1,220k,C22961
"R14, R15, R17, R21",0603,4,10k,C25804
R16,0603,1,300k,C23024
R18,0603,1,15k,C22809
R24,0603,1,10,C22859
R3,0603,1,3k,C4211
"R8, R9",0603,2,75k,C23242
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,C71035
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,C23573
