Designator,Mid X,Mid Y,Rotation,Layer
C1,103.4,-125.4,90.0,top
C10,94.25,-123.385,0.0,top
C11,95.65,-130.49,0.0,top
C12,88.95,-124.985,180.0,top
C13,86.712499,-130.487499,270.0,top
C14,110.7,-127.5,90.0,top
C2,92.975,-139.57,90.0,top
C3,102.075,-139.57,270.0,top
C4,100.65,-145.67,0.0,top
C5,102.075,-136.52,270.0,top
C6,108.375,-143.595,270.0,top
C7,92.975,-136.52,270.0,top
C8,91.55,-147.7,180.0,top
C9,85.025,-146.82,270.0,top
D1,86.575,-143.095,270.0,top
J1,116.575,-121.945,270.0,top
J10,116.625,-140.05,180.0,top
J11,81.125,-138.27,180.0,top
J3,92.625,-150.52,90.0,top
J4,116.625,-143.885,0.0,top
J5,88.675,-150.52,270.0,top
J6,81.125,-146.92,180.0,top
J7,99.025,-150.52,90.0,top
J8,110.45,-150.52,270.0,top
J9,116.625,-126.195,0.0,top
LS1,99.25,-132.49,180.0,bottom
Q1,104.625,-136.0325,270.0,top
Q2,97.525,-133.72,180.0,top
Q3,90.2625,-136.32,180.0,top
R1,91.425,-139.57,90.0,top
R10,108.725,-135.22,270.0,top
R11,110.275,-138.27,90.0,top
R12,107.175,-138.27,90.0,top
R13,108.725,-138.27,90.0,top
R14,102.725,-133.27,0.0,top
R15,91.575,-142.17,0.0,top
R16,88.325,-143.195,270.0,top
R17,91.55,-144.6,180.0,top
R18,91.55,-146.15,180.0,top
R19,89.25,-146.95,270.0,top
R2,103.625,-139.57,270.0,top
R20,87.425,-138.995,0.0,top
R21,87.425,-140.545,180.0,top
R22,98.75,-128.335,90.0,top
R23,98.75,-125.335,270.0,top
R24,88.95,-123.485,180.0,top
R3,97.6,-145.67,180.0,top
R4,106.075,-142.07,180.0,top
R5,106.075,-140.57,180.0,top
R6,103.775,-143.045,270.0,top
R7,106.075,-143.595,0.0,top
R8,106.075,-145.145,0.0,top
R9,110.275,-135.22,270.0,top
U1,97.525,-140.22,0.0,top
U2,94.25,-126.935,180.0,top
