Designator,Footprint,Quantity,Value,In cart,
C1,0603,1,22u,,
"C10, C11, C40",0603,3,1u,,
"C12, C13, C14, C15, C20, C4, C42, C5, C6, C7, C8",0603,11,100n,,
C16,CP_Elec_10x7.7,1,470u 6.3V,x,
"C17, C18",0603,2,220p,,
"C19, C21, C3, C37, C41, C52, C9",0603,7,10u,,
C2,CP_Elec_8x6.5,1,22u 63V,x,
"C23, C27",0603,2,27p,,
"D2, D4",0603,2,LED,x,
D3,D_SMA,1,SS34,x,
D5,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,1,LED,x,
D6,LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm,1,LED,,
"FB1, FB2",1206,2,BLM31SN500SN1L,x,
"FB3, FB4",0603,2,FerriteBead,x,delete from cart if we have it
J1,microSD_HC_Molex_47219-2001,1,0472192001,x,
"J2, J3, J4",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,3,S2B-XH-A(LF)(SN),x,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,x,
J6,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03,x,
"Q1, Q2",SOT-23,2,AO3400A,x,
R1,0603,1,3.3R,,
"R10, R13, R3",0603,3,4.7k,,
R14,0603,1,1000,,
"R15, R20",0603,2,100,,
"R16, R2",0603,2,10k,,
"R17, R22, R23",0603,3,1k,,
R18,0603,1,TBD,,
"R4, R6",0603,2,27,,
"R5, R7",0603,2,5.1k,,
R8,0603,1,30k,,
R9,0603,1,1M,,
"SW1, SW2, SW3",SW_SPST_TL3342,3,SW_Push,,
SW4,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x03,x,
U1,Converter_DCDC_RECOM_RPMx.x-x.0,1,RPM3.3-6.0,x,
U10,SOT-23-5,1,74LVC1G32,x,
U2,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,x,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,x,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,x,
U5,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,x,
U6,SOT-23-6,1,AP3602,x,
U7,SOT-23-5,1,74LVC1G34,x,
"U8, U9",Vishay_MINICAST-3Pin,2,TSOP58038,x,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,x,
